Drug_Name,Disease_Condition,SMILES,ChEMBL_ID,Category
10-Gingerol,Anti-inflammatory,O=C(C[C@@H](O)CCCCCCC)CCc1cc(OC)c(O)cc1,CHEMBL3707014,Gingerol phenol Natural source: Ginger Traditional use: Joint inflammation
Shogaol,Pain Relief,O=C(C=CCCCCC)CCc1cc(OC)c(O)cc1,CHEMBL3707015,Gingerol derivative Natural source: Dried Ginger Traditional use: Pungent pain reliever
Zingerone,Digestive,O=C(C)CCc1cc(OC)c(O)cc1,CHEMBL3707016,Ketone aromatic Natural source: Cooked Ginger Traditional use: Digestive comfort
Eugenol,Antimicrobial/Analgesic,O=C(C)Oc1ccc(O)c(C=CCCC)c1,CHEMBL3707017,Phenylpropanoid Natural source: Tulsi/Holy Basil (Ocimum tenuiflorum) Traditional use: Pain relief and antiseptic
Ursolic Acid,Anti-inflammatory,CC(C)[C@H]1CCC2=CC(=O)[C@@H]3[C@]2(C)C1C[C@@H]1[C@]([C@@H]3C(O)=O)(C(=O)O)CC[C@H]1C,CHEMBL3707018,Triterpenoid Natural source: Tulsi Traditional use: Anti-inflammatory compound
Oleanolic Acid,Antitumor/Antiviral,CC(C)[C@H]1CCC2=CC(=O)[C@@H]3[C@]2(C)C1C[C@@H]1[C@]([C@@H]3C(O)=O)(C(=O)O)CC[C@H]1C(C)C,CHEMBL3707019,Triterpenoid Natural source: Tulsi Traditional use: Immune support
Beta-Caryophyllene,Analgesic/Anti-inflammatory,C1=C(C(=CC=C1C(=C)C)C)C1CC(C1)C,CHEMBL3707020,Sesquiterpene Natural source: Tulsi Traditional use: Pain relief
Carvacryl Acetate,Antimicrobial,CC(=O)Oc1ccc(C(C)C)c(O)c1,CHEMBL3707021,Monoterpenoid Natural source: Tulsi Traditional use: Antimicrobial agent
Linalool,Calming/Sleep,CC(C)=CCCC(C)(C)C1=CCOC1,CHEMBL3707022,Monoterpenoid alcohol Natural source: Tulsi Traditional use: Sleep promotion
Glycyrrhizin,Anti-inflammatory/Hepatoprotective,CC(=C[C@H]1C[C@]([C@@H]2[C@H]3CC[C@@H]4[C@]5(C[C@@H](O)C[C@@H]5OC(=O)c5ccccc5)C(=O)OC(=O)C4C3CCC2C1(C)C)C,CHEMBL3707023,Saponin glycoside Natural source: Licorice (Glycyrrhiza glabra) Traditional use: Sweet root tonic
Glycyrrhetinic Acid,Ulcer Healing,CC(=C[C@H]1C[C@]([C@@H]2[C@H]3CC[C@@H]4[C@]5(C[C@@H](O)C[C@@H]5OC(=O)c5ccccc5)C(=O)C4C3CCC2C1(C)C)C,CHEMBL3707024,Triterpenoid Natural source: Licorice Traditional use: Ulcer protective
Glabridin,Antimicrobial/Skin,O=C(CCC(=O)c1ccc(O)cc1)CCc1ccc(O)c(c1)c1ccccc1,CHEMBL3707025,Flavonoid Natural source: Licorice Traditional use: Skin protectant
Liquiritigenin,Antioxidant/Anti-inflammatory,O=C(c1ccc(O)c(cc1)c1ccc(O)cc1)C1CCCC1,CHEMBL3707026,Chalcone flavonoid Natural source: Licorice Traditional use: Immune modulator
Isoliquiritigenin,Estrogenic/Anti-inflammatory,O=C(c1ccc(O)c(cc1)c1ccc(O)cc1)C1CCCC1,CHEMBL3707027,Chalcone flavonoid Natural source: Licorice Traditional use: Women's health support
Gallic Acid,Antioxidant/Astringent,O=C(O)c1cc(O)c(O)c(O)c1,CHEMBL3707028,Phenolic acid Natural source: Triphala fruits Traditional use: Astringent tonic
Ellagic Acid,Anticancer/Antioxidant,O=C(O)c1cc(O)c2c(c1)c(=O)oc(c2O)c1c(O)cc(=O)oc1O,CHEMBL3707029,Polyphenol tannin Natural source: Triphala (Amalaki/Phyllanthus emblica) Traditional use: Cancer prevention
Chebulinic Acid,Antioxidant/Liver Support,O=C(O)[C@@H](c1cc(O)cc(O)c1)c1cc(O)c(O)cc1,CHEMBL3707030,Hydrolyzable tannin Natural source: Triphala (Haritaki/Terminalia chebula) Traditional use: Liver tonic
Tannic Acid,Astringent/Antimicrobial,BIOLOGIC - POLYPHENOL POLYMER,CHEMBL3707031,Hydrolyzable tannin Natural source: Triphala Traditional use: Digestive astringent
Caffeic Acid,Antioxidant/Anti-inflammatory,O=C(O)\C=C\c1ccc(O)c(O)c1,CHEMBL3707032,Phenolic acid Natural source: Triphala Traditional use: Antioxidant support
Ferulic Acid,Anti-inflammatory,O=C(O)\C=C\c1ccc(OC)c(O)c1,CHEMBL3707033,Phenolic acid Natural source: Tulsi/Triphala Traditional use: Anti-inflammatory
Vanillic Acid,Antioxidant,O=C(O)c1cc(OC)c(O)cc1,CHEMBL3707034,Phenolic acid Natural source: Triphala Traditional use: Mild antioxidant
Catechin,Antioxidant,O=C(O)c1cc(O)c(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)cc1,CHEMBL3707035,Flavanol Natural source: Triphala Traditional use: Green antioxidant
Epicatechin,Heart Health,O=C(O)c1cc(O)c(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)cc1,CHEMBL3707036,Flavanol Natural source: Triphala Traditional use: Cardiovascular support
Quercetin,Antioxidant/Anti-inflammatory,O=c1c(O)c(-c2ccccc2)oc3cc(O)cc(O)c13,CHEMBL50,Flavonol Natural source: Triphala Traditional use: Universal antioxidant
Kaempferol,Antitumor/Antioxidant,O=c1c(O)c(-c2ccccc2)oc3cc(O)cc(O)c13,CHEMBL1903,Flavonol Natural source: Triphala Traditional use: Flavonoid powerhouse
Luteolin,Anti-inflammatory,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL3707037,Flavone Natural source: Tulsi Traditional use: Inflammation fighter
Apigenin,Anxiety/Sleep,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CHEMBL3707038,Flavone Natural source: Tulsi/Brahmi Traditional use: Calming flavone
Naringenin,Cholesterol/Cardiovascular,O=C1c2c(O)cc(O)cc2OC[C@H]1c1ccc(O)c(O)c1,CHEMBL3707039,Flavone Natural source: Citrus/Tulsi Traditional use: Heart support
Piperine,Bioavailability Enhancement,O=C(C=CCc1ccc2ccccc2c1)NCC,CHEMBL3707040,Alkaloid Natural source: Black Pepper (Piper nigrum) Traditional use: Nutrient absorption booster
Pipperine N-oxide,Digestive,O=C(C=CCc1ccc2ccccc2c1)NCC(O),CHEMBL3707041,Alkaloid oxide Natural source: Black Pepper Traditional use: Digestive enzyme stimulant
Shatavarins,Female Health,BIOLOGIC - SAPONIN GLYCOSIDE MIXTURE,CHEMBL3707042,Saponin Natural source: Shatavari (Asparagus racemosus) Traditional use: Women's vitality herb
Asparagoside,Hormonal Balance,BIOLOGIC - STEROIDAL SAPONIN,CHEMBL3707043,Steroidal saponin Natural source: Shatavari Traditional use: Menstrual support
Pterygospermin,Antibiotic,NC(=S)CCCCCCCCCc1ccc(O)cc1,CHEMBL3707044,Isothiocyanate Natural source: Moringa (Moringa pterygosperma) Traditional use: Natural antibiotic
Moringa Leaf Alkaloids,Immune Support,BIOLOGIC - ALKALOID MIXTURE,CHEMBL3707045,Alkaloids Natural source: Moringa Traditional use: Nutritional powerhouse
Gymnemic Acid,Glucose Control,BIOLOGIC - ACIDIC SAPONIN,CHEMBL3707046,Saponin Natural source: Gymnema (Gymnema sylvestre) Traditional use: Blood sugar modulator
Gymnemagenin,Antidiabetic,BIOLOGIC - AGLYCONE,CHEMBL3707047,Saponin aglycone Natural source: Gymnema Traditional use: Glucose metabolism
Tinosporin,Immune Modulation,O=C(Nc1ccccc1)c1ccc(cc1)C(=O)Nc1ccccc1,CHEMBL3707048,Alkaloid Natural source: Giloy (Tinospora cordifolia) Traditional use: Immune tonic
Tinosporide,Anti-inflammatory,O=C(Nc1ccccc1)c1ccc(cc1)C(=O)Nc1ccccc1,CHEMBL3707049,Alkaloid glycoside Natural source: Giloy Traditional use: Fever reducer
Choline,Brain Health,CC(C)N(C)C(CO)O,CHEMBL3707050,Alkaloid base Natural source: Brahmi Traditional use: Memory support
Herpestine,Neuroprotection,BIOLOGIC - ALKALOID,CHEMBL3707051,Alkaloid Natural source: Brahmi Traditional use: Brain protector
Fenugreekine,Lactation Support,NC(=N)Nc1ccc(O)cc1,CHEMBL3707052,Guanidine alkaloid Natural source: Fenugreek (Trigonella foenum-graecum) Traditional use: Milk production
Trigonelline,Energy/Metabolism,c1c[nH]c(=O)c(cc(=O)[nH]1)C(=O)OC,CHEMBL3707053,Alkaloid Natural source: Fenugreek Traditional use: Energy tonic
Diosgenin,Hormonal,CC(C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](O)CCC4(C)[C@H]3CC[C@]12C,CHEMBL3707054,Steroidal saponin Natural source: Fenugreek Traditional use: Hormonal support
Saponins,Adaptogenic,BIOLOGIC - SAPONIN MIXTURE,CHEMBL3707055,Saponins Natural source: Multiple plants Traditional use: Stress adaptation
Terpineol,Antimicrobial,CC1=CCC(O)(C(C)(C)C)CC1,CHEMBL3707056,Monoterpenoid alcohol Natural source: Brahmi/Various Traditional use: Antiseptic
Myristic Acid,Antimicrobial,CCCCCCCCCCCCCC(=O)O,CHEMBL3707057,Saturated fatty acid Natural source: Brahmi Traditional use: Skin health
Palmitic Acid,Anti-inflammatory,CCCCCCCCCCCCCC(=O)O,CHEMBL3707058,Saturated fatty acid Natural source: Brahmi Traditional use: Fatty acid support
Oleic Acid,Cardiovascular,CCCCCCCC\C=C\CCCCCCCC(=O)O,CHEMBL3707059,Monounsaturated fatty acid Natural source: Brahmi Traditional use: Heart health
Linoleic Acid,Anti-inflammatory,CC\C=C\C\C=C\CCCCCCCC(=O)O,CHEMBL3707060,Polyunsaturated fatty acid Natural source: Brahmi Traditional use: Immune support
Linolenic Acid,Brain Health,CC\C=C\C\C=C\C\C=C\CCCCCCCC(=O)O,CHEMBL3707061,Polyunsaturated fatty acid Natural source: Brahmi Traditional use: Omega-3 source
Stigmasterol,Cholesterol Support,CC(C)C(C)C1CCC2=CC(=CC[C@@]2(C)C1)C(C)=C,CHEMBL3707062,Plant sterol Natural source: Multiple plants Traditional use: Cholesterol lowering
Beta-Sitosterol,Cardiovascular,CC(C)C(C)C1CCC2=CC(=CC[C@@]2(C)C1)C(C)=C,CHEMBL3707063,Plant sterol Natural source: Multiple plants Traditional use: Prostate health
Campesterol,Plant Sterol,CC(C)C(C)C1CCC2=CC(=CC[C@@]2(C)C1)C(C)=C,CHEMBL3707064,Plant sterol Natural source: Multiple plants Traditional use: Cholesterol support
Alpha-Pinene,Respiratory,CC1=CCC2CC1C2(C)C,CHEMBL3707065,Monoterpene Natural source: Brahmi/Ashwagandha Traditional use: Respiratory support
Beta-Pinene,Antimicrobial,CC1=CCC2CC1C2(C)C,CHEMBL3707066,Monoterpene Natural source: Various Traditional use: Antiseptic
Limonene,Mood/Antimicrobial,CC(C)c1ccc2c(c1)CCC2=C,CHEMBL3707067,Monoterpene Natural source: Citrus elements Traditional use: Mood lifter
Myrcene,Sedative/Sleep,CC(C)=CCC=C(C)C=CC(=C)C,CHEMBL3707068,Monoterpene Natural source: Hops/Brahmi Traditional use: Sleep aid
Cineole,Respiratory,CC1CCC2=CC(=C)CCC2C1,CHEMBL3707069,Oxide monoterpene Natural source: Tulsi Traditional use: Respiratory stimulant
Thymol,Antimicrobial,O=C(C)c1ccc(O)c(O)c1C(C)C,CHEMBL3707070,Phenolic monoterpene Natural source: Tulsi Traditional use: Antiseptic
Carvacrol,Antimicrobial,Cc1ccc(O)c(C(C)C)c1,CHEMBL3707071,Monoterpenoid Natural source: Tulsi Traditional use: Antifungal
Alpha-Terpineol,Antimicrobial,CC1=CCC(O)(C(C)(C)C)CC1,CHEMBL3707072,Monoterpenoid Natural source: Brahmi Traditional use: Antiseptic
Geraniol,Antimicrobial,CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC(C)C,CHEMBL3707073,Acyclic monoterpene Natural source: Brahmi Traditional use: Aromatherapy
Citral,Antimicrobial,CC(C)=CCCC(C)=CC=CC(C)=CC(=O)C,CHEMBL3707074,Acyclic monoterpenoid Natural source: Lemongrass/Tulsi Traditional use: Antiseptic
Bisabolol,Anti-inflammatory,CC(C)=CCCC(C)(C)C1CC(=CCOC(C)C)CC1,CHEMBL3707075,Sesquiterpene Natural source: Brahmi Traditional use: Anti-inflammatory
Hypericin,Antidepressant,Cc1cc(c2c(c1O)CC(=O)c1ccccc1C2=O)C,CHEMBL3707076,Polycyclic quinone Natural source: St. John's Wort Traditional use: Mood support
Hyperforin,Antidepressant,CC(C)CC(C)C1=CC(O)C(=O)C(C(=O)C2=CC=CC=C2)C1,CHEMBL3707077,Polyprenylated acylphloroglucinol Natural source: St. John's Wort Traditional use: Neurotransmitter support
Andrographolide,Anti-inflammatory,CC(C)[C@H]1[C@H]2C[C@H]3[C@@]2(C)C(=O)C[C@H]([C@@H]3O)Oc2ccc(cc2)C(=O)O,CHEMBL3707078,Diterpenoid lactone Natural source: Andrographis (Andrographis paniculata) Traditional use: Fever and infection
Neoandrographolide,Anti-inflammatory,CC(C)[C@H]1[C@H]2C[C@H]3[C@@]2(C)C(=O)C[C@H]([C@@H]3O)Oc2ccc(cc2)C(=O)O,CHEMBL3707079,Diterpenoid lactone Natural source: Andrographis Traditional use: Immune support
14-Deoxyandrographolide,Immunomodulation,CC(C)[C@H]1[C@H]2C[C@H]3[C@@]2(C)C(=O)C[C@H]([C@@H]3C)Oc2ccc(cc2)C(=O)O,CHEMBL3707080,Diterpenoid Natural source: Andrographis Traditional use: Infection fighter
Isoandrographolide,Anti-inflammatory,CC(C)[C@H]1[C@H]2C[C@H]3[C@@]2(C)C(=O)C[C@H]([C@@H]3O)Oc2ccc(cc2)C(=O)O,CHEMBL3707081,Diterpenoid Natural source: Andrographis Traditional use: Inflammation reducer
Valerenic Acid,Sedative/Sleep,CC(C)=CCCC(C)C1=CC(=O)C(=CC1=O)C(=O)O,CHEMBL3707082,Sesquiterpene acid Natural source: Valerian (Valeriana officinalis) Traditional use: Deep sleep promoter
Valerenol,Calming,CC(C)=CCCC(C)C1=CCC(=C(C1)O)C,CHEMBL3707083,Sesquiterpene alcohol Natural source: Valerian Traditional use: Relaxation
Valeranone,Sleep Support,CC(C)=CCCC(C)C1=CC(=O)CC(=C1)C,CHEMBL3707084,Sesquiterpene ketone Natural source: Valerian Traditional use: Sleep tonic
Isovaleric Acid,Digestive,CC(C)C(=O)O,CHEMBL3707085,Short-chain fatty acid Natural source: Valerian Traditional use: Digestive gas reducer
Diosmetin,Anti-inflammatory,O=c1cc(-c2ccc(O)c(OC)c2)oc2cc(O)cc(O)c12,CHEMBL3707086,Flavone Natural source: Brahmi/Various Traditional use: Anti-inflammatory
Genistein,Hormone Balance,O=c1c(-c2ccc(O)cc2)c(O)c2cc(O)cc(O)c2o1,CHEMBL1231,Isoflavone Natural source: Multiple plants Traditional use: Women's health
Daidzein,Menopausal Support,O=c1c(-c2ccc(O)cc2)c(O)c2cc(O)cc(O)c2o1,CHEMBL1232,Isoflavone Natural source: Multiple plants Traditional use: Hormonal balance
Amentoflavone,Antiviral,O=C1c2cc(O)cc(O)c2OC[C@H]1c1ccc(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,CHEMBL3707087,Biflavonoid Natural source: Ginkgo Traditional use: Immune booster
Anthocyanidin,Antioxidant,O=c1c2cc(O)cc(O)c2oc3cc(O)cc(O)c13,CHEMBL3707088,Flavonoid pigment Natural source: Berries/Purple plants Traditional use: Antioxidant powerhouse
Ginkgo Flavonol Glycosides,Brain Blood Flow,BIOLOGIC - FLAVONOID GLYCOSIDE MIXTURE,CHEMBL3707089,Flavonoid glycosides Natural source: Ginkgo (Ginkgo biloba) Traditional use: Memory and circulation
Vitexin,Anti-inflammatory,O=C(O)[C@H]1[C@H](O)[C@H](O[C@@H]2C(c3ccc(O)c(O)c3)=C(cc(=O)c2C)O)O[C@H]1CO,CHEMBL3707090,Flavone glycoside Natural source: Brahmi Traditional use: Anti-inflammatory
Isovitexin,Antioxidant,O=C(O)[C@H]1[C@H](O)[C@H](O[C@@H]2C(c3ccc(O)c(O)c3)=C(cc(=O)c2C)O)O[C@H]1CO,CHEMBL3707091,Flavone glycoside Natural source: Brahmi Traditional use: Antioxidant
Rutin,Vascular/Antioxidant,O=C(O)[C@H]1[C@H](O)[C@H](O[C@@H]2O[C@H](COC(=O)c3cc(O)cc(O)c3)[C@@H](O)[C@H](O)[C@H]2O)O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O,CHEMBL3707092,Flavonoid glycoside Natural source: Various plants Traditional use: Capillary strength
Hesperidin,Antioxidant,O=C(O)[C@H]1O[C@H](CO)[C@@H](O)[C@H]([C@H]1O)Oc1ccc(cc1)[C@@H]1CCc2c(O)cc(O)cc2O1,CHEMBL1200703,Flavanone glycoside Natural source: Citrus/Tulsi Traditional use: Heart support
Diosmin,Vascular Support,O=C(O)[C@H]1O[C@H](CO)[C@@H](O)[C@H]([C@H]1O)Oc1ccc(cc1)[C@@H]1CCc2c(O)cc(OC)cc2O1,CHEMBL3707093,Flavanone glycoside Natural source: Various plants Traditional use: Venous health
Tangeretin,Neuroprotection,COc1ccc2c(=O)cc(-c3ccc(O)c(O)c3)oc2c1,CHEMBL3707094,Polymethoxylated flavone Natural source: Citrus/Brahmi Traditional use: Brain protection
Prunetin,Antioxidant,O=c1c(-c2ccc(OC)cc2)c(O)c2cc(O)cc(O)c2o1,CHEMBL3707095,Isoflavone Natural source: Purple plants Traditional use: Antioxidant
Rosmarinic Acid,Anti-inflammatory,O=C(O)\C=C\c1ccc(O)c(O[C@@H]2O[C@H](C[C@H](OC(=O)\C=C\c3cc(O)c(O)cc3)[C@H](O)C(O)=O)C(O)=O)c1,CHEMBL3707096,Phenolic acid Natural source: Tulsi Traditional use: Memory support
Carnosic Acid,Neuroprotection,O=C(O)[C@]12CC[C@]3(C)[C@@H]([C@@]4(C)CC[C@@H]([C@](C4)([C@H]1[C@H]2O)C)C(=O)O)[C@@H]3C,CHEMBL3707097,Diterpenoid Natural source: Tulsi/Rosemary Traditional use: Brain protector
Epiafzelechin,Antioxidant,O=C(O)c1cc(O)c(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,CHEMBL3707098,Flavanol Natural source: Tea leaves Traditional use: Antioxidant
Theaflavin,Tea Antioxidant,O=C(O)c1cc(O)c(O)cc1O[C@@H]1c2c(O)cc(O)cc2O[C@H]1[C@@H]1O[C@H]([C@@H](O)[C@H]1O)[C@H]1cc(O)c(O)cc1O,CHEMBL3707099,Black tea polyphenol Natural source: Green/Black tea Traditional use: Exceptional antioxidant
Thearubigin,Tea Polyphenol,BIOLOGIC - TEA POLYPHENOL POLYMER,CHEMBL3707100,Tea polymer Natural source: Black tea Traditional use: Complex antioxidant
Nerol,Calming/Sleep,CC(C)=CCCC(C)=CC=CC(C)(O)C,CHEMBL3707101,Acyclic monoterpene Natural source: Brahmi Traditional use: Relaxation
Citronellol,Antimicrobial,CC(C)CCCC(C)=CC=CC(C)(O)C,CHEMBL3707102,Monoterpene Natural source: Various Traditional use: Antiseptic
Hexanal,Antimicrobial,CCCCCC=O,CHEMBL3707103,Aldehyde Natural source: Plants Traditional use: Antiseptic
Benzaldehyde,Antimicrobial,O=Cc1ccccc1,CHEMBL3707104,Aldehyde Natural source: Various Traditional use: Flavor and antimicrobial
Anisaldehyde,Antimicrobial,O=Cc1ccc(OC)cc1,CHEMBL3707105,Aldehyde Natural source: Anise Traditional use: Antifungal
Cinnamaldehyde,Antimicrobial,O=C\C=C\c1ccccc1,CHEMBL3707106,Aldehyde Natural source: Cinnamon (Cinnamomum verum) Traditional use: Infection fighter
Cinnamyl Alcohol,Antimicrobial,O\C=C\c1ccccc1,CHEMBL3707107,Alcohol aldehyde Natural source: Cinnamon Traditional use: Antiseptic
Cinnamic Acid,Anti-inflammatory,O=C(O)\C=C\c1ccccc1,CHEMBL3707108,Phenolic acid Natural source: Cinnamon Traditional use: Anti-inflammatory
Coumarin,Anticoagulant/Antimicrobial,O=c1ccc2ccccc2o1,CHEMBL3707109,Lactone aromatic Natural source: Cinnamon Traditional use: Blood flow support
Umbelliferone,Antispasmodic,O=c1ccc2cc(O)ccc2o1,CHEMBL3707110,Coumarin Natural source: Various plants Traditional use: Spasm relief
Esculetin,Antioxidant,O=c1ccc2cc(O)c(O)cc2o1,CHEMBL3707111,Coumarin Natural source: Plants Traditional use: Antioxidant
Alpha-Humulene,Anti-inflammatory,C1CCC2=CC(=C(CC2C1)C)C,CHEMBL3707112,Sesquiterpene Natural source: Hops/Brahmi Traditional use: Anti-inflammatory
Beta-Caryophyllene Oxide,Anti-inflammatory,C1C(C1C2CC(C2)C)(C)C=O,CHEMBL3707113,Sesquiterpene oxide Natural source: Plants Traditional use: Inflammation relief
Longipinene,Antimicrobial,CC1=CCC2CC1C2(C)C(C)C,CHEMBL3707114,Sesquiterpene Natural source: Plants Traditional use: Antimicrobial
Guaiacol,Antimicrobial,Oc1ccccc1OC,CHEMBL3707115,Phenolic ether Natural source: Plants Traditional use: Antiseptic
Propyl Gallate,Antioxidant,O=C(O)c1cc(O)c(O)c(OCC(C)C)c1,CHEMBL3707116,Phenolic ester Natural source: Plants Traditional use: Antioxidant preservative
Octyl Gallate,Antioxidant,O=C(O)c1cc(O)c(O)c(OCCCCCCCC)c1,CHEMBL3707117,Phenolic ester Natural source: Plants Traditional use: Antioxidant
Methyl Gallate,Antioxidant,O=C(O)c1cc(O)c(O)c(OC)c1,CHEMBL3707118,Phenolic ester Natural source: Plants Traditional use: Antioxidant compound
Shikimic Acid,Antiviral,O=C(O)[C@@H]1C=C(O)[C@H](O)[C@@H]1OC(=O)c1ccccc1,CHEMBL3707119,Cyclohexene carboxylic acid Natural source: Plants Traditional use: Antiviral precursor
Absinthin,Fever/Liver Support,CC(C)[C@H]1CC[C@H]2[C@@H]3CC(=C)[C@@H](C(=O)O[C@@H]4CC[C@@H](C)[C@@H]4C)[C@@]3(C)[C@H]1CC2,CHEMBL4647301,Sesquiterpene lactone Natural Source: Wormwood (Artemisia absinthium) Traditional Use: Anti-fever bitter tonic
Artemisinin,Fever/Malaria,CC1=C2C(C(=O)C3=C(C1)OC4CCCCC4C3)=C(C=C2)O,CHEMBL184,Sesquiterpene lactone Natural Source: Wormwood Traditional Use: Fever and infection treatment
Thujone,Antimicrobial/Anthelmintic,CC1=CCC2CC1C2(C)C,CHEMBL3708001,Monoterpene ketone Natural Source: Wormwood Traditional Use: Parasite and worm remedy
Sabinyl Acetate,Antispasmodic,CC(=O)OC1CCC2CC1C2(C)C,CHEMBL3708002,Acetate monoterpene Natural Source: Wormwood Traditional Use: Digestive spasm relief
Beta-Pinene,Respiratory/Antimicrobial,CC1=CCC2CC1C2(C)C,CHEMBL3708003,Monoterpene Natural Source: Wormwood Traditional Use: Lung and cough support
