source,n_elements,doping_concentration,name,termination,space_group,doping_level,volume_fraction,weight_percent,lattice_c,temperature,reinforcement,matrix,layers,material_id,molecular_weight,deposition_method,type,lattice_b,pdi,formula,composition,lattice_a,thickness_nm,dopant,substrate
Systematic_Generation,,,KO2,,P21/c,,,,12.497,,,,,BIN_000021,,,Binary_Oxide,3.015,,KO2,K:O = 1:2,8.297,,,
Systematic_Generation,,,K2O3,,Pnma,,,,7.677,,,,,BIN_000022,,,Binary_Oxide,8.286,,K2O3,K:O = 2:3,3.404,,,
Systematic_Generation,,,KO3,,P21/c,,,,14.25,,,,,BIN_000023,,,Binary_Oxide,5.885,,KO3,K:O = 1:3,5.007,,,
Systematic_Generation,,,K3O2,,Pnma,,,,6.278,,,,,BIN_000024,,,Binary_Oxide,3.094,,K3O2,K:O = 3:2,9.213,,,
Systematic_Generation,,,K3O4,,Pnma,,,,7.51,,,,,BIN_000025,,,Binary_Oxide,6.727,,K3O4,K:O = 3:4,7.941,,,
Systematic_Generation,,,K2O5,,Fm-3m,,,,13.581,,,,,BIN_000026,,,Binary_Oxide,3.042,,K2O5,K:O = 2:5,6.124,,,
Systematic_Generation,,,KO4,,P21/c,,,,3.912,,,,,BIN_000027,,,Binary_Oxide,3.368,,KO4,K:O = 1:4,8.869,,,
Systematic_Generation,,,RbO,,Pnma,,,,10.34,,,,,BIN_000028,,,Binary_Oxide,8.241,,RbO,Rb:O = 1:1,9.044,,,
Systematic_Generation,,,Rb2O,,P21/c,,,,9.826,,,,,BIN_000029,,,Binary_Oxide,6.997,,Rb2O,Rb:O = 2:1,7.828,,,
Systematic_Generation,,,RbO2,,Fm-3m,,,,11.308,,,,,BIN_000030,,,Binary_Oxide,4.711,,RbO2,Rb:O = 1:2,3.343,,,
Systematic_Generation,,,Rb2O3,,P21/c,,,,11.832,,,,,BIN_000031,,,Binary_Oxide,5.241,,Rb2O3,Rb:O = 2:3,4.07,,,
Systematic_Generation,,,RbO3,,R-3m,,,,13.575,,,,,BIN_000032,,,Binary_Oxide,4.284,,RbO3,Rb:O = 1:3,3.986,,,
Systematic_Generation,,,Rb3O2,,P63/mmc,,,,8.835,,,,,BIN_000033,,,Binary_Oxide,6.312,,Rb3O2,Rb:O = 3:2,7.291,,,
Systematic_Generation,,,Rb3O4,,P21/c,,,,11.956,,,,,BIN_000034,,,Binary_Oxide,3.53,,Rb3O4,Rb:O = 3:4,3.471,,,
Systematic_Generation,,,Rb2O5,,P21/c,,,,4.837,,,,,BIN_000035,,,Binary_Oxide,6.364,,Rb2O5,Rb:O = 2:5,3.266,,,
Systematic_Generation,,,RbO4,,Pnma,,,,13.675,,,,,BIN_000036,,,Binary_Oxide,4.203,,RbO4,Rb:O = 1:4,7.04,,,
Systematic_Generation,,,CsO,,Fm-3m,,,,14.935,,,,,BIN_000037,,,Binary_Oxide,7.981,,CsO,Cs:O = 1:1,7.589,,,
Systematic_Generation,,,Cs2O,,Fm-3m,,,,14.825,,,,,BIN_000038,,,Binary_Oxide,3.914,,Cs2O,Cs:O = 2:1,5.205,,,
Systematic_Generation,,,CsO2,,P21/c,,,,13.866,,,,,BIN_000039,,,Binary_Oxide,6.665,,CsO2,Cs:O = 1:2,6.917,,,
Systematic_Generation,,,Cs2O3,,Pnma,,,,4.642,,,,,BIN_000040,,,Binary_Oxide,8.486,,Cs2O3,Cs:O = 2:3,7.076,,,
Systematic_Generation,,,CsO3,,P21/c,,,,11.3,,,,,BIN_000041,,,Binary_Oxide,4.179,,CsO3,Cs:O = 1:3,3.49,,,
Systematic_Generation,,,Cs3O2,,R-3m,,,,8.296,,,,,BIN_000042,,,Binary_Oxide,4.073,,Cs3O2,Cs:O = 3:2,4.942,,,
Systematic_Generation,,,Cs3O4,,Pnma,,,,4.887,,,,,BIN_000043,,,Binary_Oxide,9.554,,Cs3O4,Cs:O = 3:4,3.01,,,
Systematic_Generation,,,Cs2O5,,Pnma,,,,8.434,,,,,BIN_000044,,,Binary_Oxide,5.762,,Cs2O5,Cs:O = 2:5,5.068,,,
Systematic_Generation,,,CsO4,,P21/c,,,,11.356,,,,,BIN_000045,,,Binary_Oxide,5.155,,CsO4,Cs:O = 1:4,6.351,,,
Systematic_Generation,,,BeO,,Pnma,,,,8.293,,,,,BIN_000046,,,Binary_Oxide,3.397,,BeO,Be:O = 1:1,6.375,,,
Systematic_Generation,,,Be2O,,P63/mmc,,,,6.542,,,,,BIN_000047,,,Binary_Oxide,7.996,,Be2O,Be:O = 2:1,6.086,,,
Systematic_Generation,,,BeO2,,Pnma,,,,8.261,,,,,BIN_000048,,,Binary_Oxide,5.014,,BeO2,Be:O = 1:2,8.041,,,
Systematic_Generation,,,Be2O3,,Fm-3m,,,,12.907,,,,,BIN_000049,,,Binary_Oxide,9.583,,Be2O3,Be:O = 2:3,8.783,,,
Systematic_Generation,,,BeO3,,P63/mmc,,,,8.559,,,,,BIN_000050,,,Binary_Oxide,5.732,,BeO3,Be:O = 1:3,9.953,,,
Systematic_Generation,,,Be3O2,,P63/mmc,,,,9.85,,,,,BIN_000051,,,Binary_Oxide,8.679,,Be3O2,Be:O = 3:2,8.276,,,
Systematic_Generation,,,Be3O4,,P21/c,,,,5.714,,,,,BIN_000052,,,Binary_Oxide,4.462,,Be3O4,Be:O = 3:4,4.146,,,
Systematic_Generation,,,Be2O5,,R-3m,,,,8.033,,,,,BIN_000053,,,Binary_Oxide,8.265,,Be2O5,Be:O = 2:5,7.096,,,
Systematic_Generation,,,BeO4,,P21/c,,,,10.354,,,,,BIN_000054,,,Binary_Oxide,8.957,,BeO4,Be:O = 1:4,8.432,,,
Systematic_Generation,,,MgO,,Pnma,,,,12.279,,,,,BIN_000055,,,Binary_Oxide,9.431,,MgO,Mg:O = 1:1,6.297,,,
Systematic_Generation,,,Mg2O,,R-3m,,,,13.041,,,,,BIN_000056,,,Binary_Oxide,4.353,,Mg2O,Mg:O = 2:1,6.163,,,
Systematic_Generation,,,MgO2,,P21/c,,,,12.743,,,,,BIN_000057,,,Binary_Oxide,4.507,,MgO2,Mg:O = 1:2,4.701,,,
Systematic_Generation,,,Mg2O3,,P63/mmc,,,,9.417,,,,,BIN_000058,,,Binary_Oxide,9.364,,Mg2O3,Mg:O = 2:3,9.568,,,
Systematic_Generation,,,MgO3,,R-3m,,,,8.524,,,,,BIN_000059,,,Binary_Oxide,9.852,,MgO3,Mg:O = 1:3,7.352,,,
Systematic_Generation,,,Mg3O2,,Fm-3m,,,,4.372,,,,,BIN_000060,,,Binary_Oxide,9.173,,Mg3O2,Mg:O = 3:2,8.189,,,
Systematic_Generation,,,Mg3O4,,R-3m,,,,9.286,,,,,BIN_000061,,,Binary_Oxide,3.673,,Mg3O4,Mg:O = 3:4,8.937,,,
Systematic_Generation,,,Mg2O5,,Pnma,,,,12.859,,,,,BIN_000062,,,Binary_Oxide,9.476,,Mg2O5,Mg:O = 2:5,5.825,,,
Systematic_Generation,,,MgO4,,P63/mmc,,,,4.704,,,,,BIN_000063,,,Binary_Oxide,9.974,,MgO4,Mg:O = 1:4,8.972,,,
Systematic_Generation,,,CaO,,Pnma,,,,7.082,,,,,BIN_000064,,,Binary_Oxide,3.481,,CaO,Ca:O = 1:1,5.781,,,
Systematic_Generation,,,Ca2O,,Pnma,,,,12.097,,,,,BIN_000065,,,Binary_Oxide,4.28,,Ca2O,Ca:O = 2:1,3.849,,,
Systematic_Generation,,,CaO2,,Pnma,,,,3.564,,,,,BIN_000066,,,Binary_Oxide,8.846,,CaO2,Ca:O = 1:2,3.291,,,
Systematic_Generation,,,Ca2O3,,P63/mmc,,,,10.033,,,,,BIN_000067,,,Binary_Oxide,5.33,,Ca2O3,Ca:O = 2:3,8.331,,,
Systematic_Generation,,,CaO3,,P63/mmc,,,,5.154,,,,,BIN_000068,,,Binary_Oxide,5.476,,CaO3,Ca:O = 1:3,5.393,,,
Systematic_Generation,,,Ca3O2,,P21/c,,,,13.253,,,,,BIN_000069,,,Binary_Oxide,4.598,,Ca3O2,Ca:O = 3:2,5.742,,,
Systematic_Generation,,,Ca3O4,,P63/mmc,,,,12.75,,,,,BIN_000070,,,Binary_Oxide,8.555,,Ca3O4,Ca:O = 3:4,4.376,,,
Systematic_Generation,,,Ca2O5,,Fm-3m,,,,4.533,,,,,BIN_000071,,,Binary_Oxide,4.792,,Ca2O5,Ca:O = 2:5,6.714,,,
Systematic_Generation,,,CaO4,,Pnma,,,,10.833,,,,,BIN_000072,,,Binary_Oxide,3.278,,CaO4,Ca:O = 1:4,4.34,,,
Systematic_Generation,,,SrO,,R-3m,,,,4.348,,,,,BIN_000073,,,Binary_Oxide,8.452,,SrO,Sr:O = 1:1,9.23,,,
Systematic_Generation,,,Sr2O,,P63/mmc,,,,10.316,,,,,BIN_000074,,,Binary_Oxide,4.911,,Sr2O,Sr:O = 2:1,4.832,,,
Systematic_Generation,,,SrO2,,R-3m,,,,11.065,,,,,BIN_000075,,,Binary_Oxide,8.9,,SrO2,Sr:O = 1:2,5.756,,,
Systematic_Generation,,,Sr2O3,,P21/c,,,,8.436,,,,,BIN_000076,,,Binary_Oxide,4.777,,Sr2O3,Sr:O = 2:3,8.672,,,
Systematic_Generation,,,SrO3,,Fm-3m,,,,13.891,,,,,BIN_000077,,,Binary_Oxide,9.332,,SrO3,Sr:O = 1:3,3.491,,,
Systematic_Generation,,,Sr3O2,,R-3m,,,,9.838,,,,,BIN_000078,,,Binary_Oxide,8.125,,Sr3O2,Sr:O = 3:2,5.501,,,
Systematic_Generation,,,Sr3O4,,R-3m,,,,3.16,,,,,BIN_000079,,,Binary_Oxide,5.845,,Sr3O4,Sr:O = 3:4,8.659,,,
Systematic_Generation,,,Sr2O5,,Pnma,,,,7.546,,,,,BIN_000080,,,Binary_Oxide,7.146,,Sr2O5,Sr:O = 2:5,9.562,,,
Systematic_Generation,,,SrO4,,P21/c,,,,6.421,,,,,BIN_000081,,,Binary_Oxide,9.529,,SrO4,Sr:O = 1:4,4.019,,,
Systematic_Generation,,,BaO,,R-3m,,,,13.583,,,,,BIN_000082,,,Binary_Oxide,9.24,,BaO,Ba:O = 1:1,6.693,,,
Systematic_Generation,,,Ba2O,,Fm-3m,,,,5.78,,,,,BIN_000083,,,Binary_Oxide,5.477,,Ba2O,Ba:O = 2:1,9.378,,,
Systematic_Generation,,,BaO2,,P21/c,,,,5.842,,,,,BIN_000084,,,Binary_Oxide,4.627,,BaO2,Ba:O = 1:2,8.265,,,
Systematic_Generation,,,Ba2O3,,R-3m,,,,14.541,,,,,BIN_000085,,,Binary_Oxide,8.792,,Ba2O3,Ba:O = 2:3,3.527,,,
Systematic_Generation,,,BaO3,,P21/c,,,,7.936,,,,,BIN_000086,,,Binary_Oxide,7.099,,BaO3,Ba:O = 1:3,5.699,,,
Systematic_Generation,,,Ba3O2,,P63/mmc,,,,13.464,,,,,BIN_000087,,,Binary_Oxide,6.871,,Ba3O2,Ba:O = 3:2,3.618,,,
Systematic_Generation,,,Ba3O4,,Pnma,,,,14.899,,,,,BIN_000088,,,Binary_Oxide,8.668,,Ba3O4,Ba:O = 3:4,6.596,,,
Systematic_Generation,,,Ba2O5,,R-3m,,,,12.3,,,,,BIN_000089,,,Binary_Oxide,6.286,,Ba2O5,Ba:O = 2:5,6.946,,,
Systematic_Generation,,,BaO4,,P21/c,,,,5.759,,,,,BIN_000090,,,Binary_Oxide,8.865,,BaO4,Ba:O = 1:4,5.153,,,
Systematic_Generation,,,ScO,,P21/c,,,,4.806,,,,,BIN_000091,,,Binary_Oxide,9.058,,ScO,Sc:O = 1:1,3.515,,,
Systematic_Generation,,,Sc2O,,R-3m,,,,8.026,,,,,BIN_000092,,,Binary_Oxide,9.715,,Sc2O,Sc:O = 2:1,8.55,,,
Systematic_Generation,,,ScO2,,P63/mmc,,,,10.298,,,,,BIN_000093,,,Binary_Oxide,8.72,,ScO2,Sc:O = 1:2,5.042,,,
Systematic_Generation,,,Sc2O3,,Pnma,,,,9.588,,,,,BIN_000094,,,Binary_Oxide,5.655,,Sc2O3,Sc:O = 2:3,8.987,,,
Systematic_Generation,,,ScO3,,Fm-3m,,,,11.805,,,,,BIN_000095,,,Binary_Oxide,4.791,,ScO3,Sc:O = 1:3,7.222,,,
Systematic_Generation,,,Sc3O2,,R-3m,,,,6.596,,,,,BIN_000096,,,Binary_Oxide,4.439,,Sc3O2,Sc:O = 3:2,5.726,,,
Systematic_Generation,,,Sc3O4,,Fm-3m,,,,14.906,,,,,BIN_000097,,,Binary_Oxide,9.576,,Sc3O4,Sc:O = 3:4,6.58,,,
Systematic_Generation,,,Sc2O5,,P63/mmc,,,,11.289,,,,,BIN_000098,,,Binary_Oxide,3.477,,Sc2O5,Sc:O = 2:5,9.716,,,
Systematic_Generation,,,ScO4,,Pnma,,,,6.796,,,,,BIN_000099,,,Binary_Oxide,3.33,,ScO4,Sc:O = 1:4,5.231,,,
Systematic_Generation,,,TiO,,R-3m,,,,6.532,,,,,BIN_000100,,,Binary_Oxide,9.577,,TiO,Ti:O = 1:1,8.405,,,
Systematic_Generation,,,Ti2O,,P63/mmc,,,,14.933,,,,,BIN_000101,,,Binary_Oxide,4.475,,Ti2O,Ti:O = 2:1,7.679,,,
Systematic_Generation,,,TiO2,,Fm-3m,,,,14.867,,,,,BIN_000102,,,Binary_Oxide,5.346,,TiO2,Ti:O = 1:2,9.05,,,
Systematic_Generation,,,Ti2O3,,Fm-3m,,,,10.682,,,,,BIN_000103,,,Binary_Oxide,6.726,,Ti2O3,Ti:O = 2:3,3.353,,,
Systematic_Generation,,,TiO3,,P21/c,,,,13.384,,,,,BIN_000104,,,Binary_Oxide,8.108,,TiO3,Ti:O = 1:3,6.381,,,
Systematic_Generation,,,Ti3O2,,R-3m,,,,6.171,,,,,BIN_000105,,,Binary_Oxide,6.584,,Ti3O2,Ti:O = 3:2,6.961,,,
Systematic_Generation,,,Ti3O4,,P21/c,,,,7.216,,,,,BIN_000106,,,Binary_Oxide,4.116,,Ti3O4,Ti:O = 3:4,7.489,,,
Systematic_Generation,,,Ti2O5,,Fm-3m,,,,10.539,,,,,BIN_000107,,,Binary_Oxide,8.047,,Ti2O5,Ti:O = 2:5,9.525,,,
Systematic_Generation,,,TiO4,,Pnma,,,,13.935,,,,,BIN_000108,,,Binary_Oxide,8.128,,TiO4,Ti:O = 1:4,5.627,,,
Systematic_Generation,,,VO,,Fm-3m,,,,11.904,,,,,BIN_000109,,,Binary_Oxide,7.064,,VO,V:O = 1:1,9.274,,,
Systematic_Generation,,,V2O,,Pnma,,,,3.102,,,,,BIN_000110,,,Binary_Oxide,8.627,,V2O,V:O = 2:1,9.669,,,
Systematic_Generation,,,VO2,,P21/c,,,,3.185,,,,,BIN_000111,,,Binary_Oxide,8.369,,VO2,V:O = 1:2,8.923,,,
Systematic_Generation,,,V2O3,,Fm-3m,,,,9.036,,,,,BIN_000112,,,Binary_Oxide,7.868,,V2O3,V:O = 2:3,6.321,,,
Systematic_Generation,,,VO3,,P63/mmc,,,,3.526,,,,,BIN_000113,,,Binary_Oxide,8.65,,VO3,V:O = 1:3,5.298,,,
Systematic_Generation,,,V3O2,,R-3m,,,,4.388,,,,,BIN_000114,,,Binary_Oxide,6.564,,V3O2,V:O = 3:2,3.317,,,
Systematic_Generation,,,V3O4,,R-3m,,,,5.274,,,,,BIN_000115,,,Binary_Oxide,3.565,,V3O4,V:O = 3:4,3.853,,,
Systematic_Generation,,,V2O5,,Pnma,,,,12.685,,,,,BIN_000116,,,Binary_Oxide,4.461,,V2O5,V:O = 2:5,9.779,,,
Systematic_Generation,,,VO4,,Pnma,,,,14.915,,,,,BIN_000117,,,Binary_Oxide,8.885,,VO4,V:O = 1:4,3.815,,,
Systematic_Generation,,,CrO,,R-3m,,,,3.604,,,,,BIN_000118,,,Binary_Oxide,7.663,,CrO,Cr:O = 1:1,8.271,,,
Systematic_Generation,,,Cr2O,,Fm-3m,,,,14.456,,,,,BIN_000119,,,Binary_Oxide,3.796,,Cr2O,Cr:O = 2:1,3.938,,,
Systematic_Generation,,,CrO2,,P63/mmc,,,,7.751,,,,,BIN_000120,,,Binary_Oxide,6.422,,CrO2,Cr:O = 1:2,5.221,,,
Systematic_Generation,,,Cr2O3,,P63/mmc,,,,4.006,,,,,BIN_000121,,,Binary_Oxide,9.672,,Cr2O3,Cr:O = 2:3,4.507,,,
Systematic_Generation,,,CrO3,,R-3m,,,,5.58,,,,,BIN_000122,,,Binary_Oxide,9.906,,CrO3,Cr:O = 1:3,5.037,,,
Systematic_Generation,,,Cr3O2,,R-3m,,,,8.498,,,,,BIN_000123,,,Binary_Oxide,5.132,,Cr3O2,Cr:O = 3:2,7.063,,,
Systematic_Generation,,,Cr3O4,,P63/mmc,,,,8.954,,,,,BIN_000124,,,Binary_Oxide,6.882,,Cr3O4,Cr:O = 3:4,4.624,,,
Systematic_Generation,,,Cr2O5,,P63/mmc,,,,10.904,,,,,BIN_000125,,,Binary_Oxide,7.161,,Cr2O5,Cr:O = 2:5,6.367,,,
Systematic_Generation,,,CrO4,,P21/c,,,,9.601,,,,,BIN_000126,,,Binary_Oxide,9.033,,CrO4,Cr:O = 1:4,6.656,,,
Systematic_Generation,,,MnO,,P63/mmc,,,,4.909,,,,,BIN_000127,,,Binary_Oxide,5.554,,MnO,Mn:O = 1:1,5.475,,,
Systematic_Generation,,,Mn2O,,Pnma,,,,6.629,,,,,BIN_000128,,,Binary_Oxide,6.65,,Mn2O,Mn:O = 2:1,6.18,,,
Systematic_Generation,,,MnO2,,R-3m,,,,9.169,,,,,BIN_000129,,,Binary_Oxide,6.846,,MnO2,Mn:O = 1:2,4.385,,,
Systematic_Generation,,,Mn2O3,,Fm-3m,,,,8.075,,,,,BIN_000130,,,Binary_Oxide,7.333,,Mn2O3,Mn:O = 2:3,3.269,,,
Systematic_Generation,,,MnO3,,R-3m,,,,10.637,,,,,BIN_000131,,,Binary_Oxide,7.36,,MnO3,Mn:O = 1:3,4.668,,,
Systematic_Generation,,,Mn3O2,,P63/mmc,,,,9.196,,,,,BIN_000132,,,Binary_Oxide,6.267,,Mn3O2,Mn:O = 3:2,8.264,,,
Systematic_Generation,,,Mn3O4,,Fm-3m,,,,6.442,,,,,BIN_000133,,,Binary_Oxide,7.741,,Mn3O4,Mn:O = 3:4,4.397,,,
Systematic_Generation,,,Mn2O5,,P21/c,,,,9.372,,,,,BIN_000134,,,Binary_Oxide,9.553,,Mn2O5,Mn:O = 2:5,6.352,,,
Systematic_Generation,,,MnO4,,R-3m,,,,13.098,,,,,BIN_000135,,,Binary_Oxide,5.945,,MnO4,Mn:O = 1:4,9.248,,,
Systematic_Generation,,,FeO,,Pnma,,,,7.175,,,,,BIN_000136,,,Binary_Oxide,3.911,,FeO,Fe:O = 1:1,9.215,,,
Systematic_Generation,,,Fe2O,,Fm-3m,,,,8.66,,,,,BIN_000137,,,Binary_Oxide,5.224,,Fe2O,Fe:O = 2:1,4.826,,,
Systematic_Generation,,,FeO2,,R-3m,,,,5.186,,,,,BIN_000138,,,Binary_Oxide,5.89,,FeO2,Fe:O = 1:2,4.555,,,
Systematic_Generation,,,Fe2O3,,P63/mmc,,,,3.054,,,,,BIN_000139,,,Binary_Oxide,8.802,,Fe2O3,Fe:O = 2:3,9.168,,,
Systematic_Generation,,,FeO3,,Fm-3m,,,,9.203,,,,,BIN_000140,,,Binary_Oxide,5.939,,FeO3,Fe:O = 1:3,6.531,,,
Systematic_Generation,,,Fe3O2,,P21/c,,,,7.28,,,,,BIN_000141,,,Binary_Oxide,3.851,,Fe3O2,Fe:O = 3:2,7.12,,,
Systematic_Generation,,,Fe3O4,,Fm-3m,,,,12.371,,,,,BIN_000142,,,Binary_Oxide,9.51,,Fe3O4,Fe:O = 3:4,8.343,,,
Systematic_Generation,,,Fe2O5,,R-3m,,,,5.523,,,,,BIN_000143,,,Binary_Oxide,4.531,,Fe2O5,Fe:O = 2:5,5.953,,,
Systematic_Generation,,,FeO4,,Fm-3m,,,,9.225,,,,,BIN_000144,,,Binary_Oxide,5.927,,FeO4,Fe:O = 1:4,5.603,,,
Systematic_Generation,,,CoO,,Fm-3m,,,,6.408,,,,,BIN_000145,,,Binary_Oxide,9.757,,CoO,Co:O = 1:1,6.868,,,
Systematic_Generation,,,Co2O,,P21/c,,,,4.842,,,,,BIN_000146,,,Binary_Oxide,7.569,,Co2O,Co:O = 2:1,7.319,,,
Systematic_Generation,,,CoO2,,Fm-3m,,,,10.977,,,,,BIN_000147,,,Binary_Oxide,7.468,,CoO2,Co:O = 1:2,9.448,,,
Systematic_Generation,,,Co2O3,,P21/c,,,,14.956,,,,,BIN_000148,,,Binary_Oxide,8.117,,Co2O3,Co:O = 2:3,6.791,,,
Systematic_Generation,,,CoO3,,P63/mmc,,,,5.272,,,,,BIN_000149,,,Binary_Oxide,8.882,,CoO3,Co:O = 1:3,6.458,,,
Systematic_Generation,,,Co3O2,,Pnma,,,,8.685,,,,,BIN_000150,,,Binary_Oxide,8.676,,Co3O2,Co:O = 3:2,4.477,,,
Systematic_Generation,,,Co3O4,,P21/c,,,,3.994,,,,,BIN_000151,,,Binary_Oxide,4.222,,Co3O4,Co:O = 3:4,9.013,,,
Systematic_Generation,,,Co2O5,,R-3m,,,,5.99,,,,,BIN_000152,,,Binary_Oxide,3.872,,Co2O5,Co:O = 2:5,3.169,,,
Systematic_Generation,,,CoO4,,P21/c,,,,11.372,,,,,BIN_000153,,,Binary_Oxide,8.469,,CoO4,Co:O = 1:4,3.334,,,
Systematic_Generation,,,NiO,,P63/mmc,,,,3.5,,,,,BIN_000154,,,Binary_Oxide,7.37,,NiO,Ni:O = 1:1,7.468,,,
Systematic_Generation,,,Ni2O,,R-3m,,,,12.088,,,,,BIN_000155,,,Binary_Oxide,8.2,,Ni2O,Ni:O = 2:1,8.855,,,
Systematic_Generation,,,NiO2,,R-3m,,,,12.409,,,,,BIN_000156,,,Binary_Oxide,9.396,,NiO2,Ni:O = 1:2,8.498,,,
Systematic_Generation,,,Ni2O3,,P63/mmc,,,,9.163,,,,,BIN_000157,,,Binary_Oxide,6.005,,Ni2O3,Ni:O = 2:3,4.735,,,
Systematic_Generation,,,NiO3,,P21/c,,,,13.924,,,,,BIN_000158,,,Binary_Oxide,7.973,,NiO3,Ni:O = 1:3,3.3,,,
Systematic_Generation,,,Ni3O2,,Pnma,,,,7.685,,,,,BIN_000159,,,Binary_Oxide,8.18,,Ni3O2,Ni:O = 3:2,7.684,,,
Systematic_Generation,,,Ni3O4,,P63/mmc,,,,12.44,,,,,BIN_000160,,,Binary_Oxide,8.914,,Ni3O4,Ni:O = 3:4,5.278,,,
Systematic_Generation,,,Ni2O5,,Fm-3m,,,,10.616,,,,,BIN_000161,,,Binary_Oxide,6.899,,Ni2O5,Ni:O = 2:5,8.931,,,
Systematic_Generation,,,NiO4,,Fm-3m,,,,8.828,,,,,BIN_000162,,,Binary_Oxide,8.07,,NiO4,Ni:O = 1:4,6.767,,,
Systematic_Generation,,,CuO,,P21/c,,,,14.216,,,,,BIN_000163,,,Binary_Oxide,3.859,,CuO,Cu:O = 1:1,4.403,,,
Systematic_Generation,,,Cu2O,,Pnma,,,,9.464,,,,,BIN_000164,,,Binary_Oxide,6.857,,Cu2O,Cu:O = 2:1,3.996,,,
Systematic_Generation,,,CuO2,,R-3m,,,,5.1,,,,,BIN_000165,,,Binary_Oxide,6.573,,CuO2,Cu:O = 1:2,3.409,,,
Systematic_Generation,,,Cu2O3,,Pnma,,,,10.571,,,,,BIN_000166,,,Binary_Oxide,9.168,,Cu2O3,Cu:O = 2:3,9.761,,,
Systematic_Generation,,,CuO3,,Fm-3m,,,,4.877,,,,,BIN_000167,,,Binary_Oxide,4.709,,CuO3,Cu:O = 1:3,8.286,,,
Systematic_Generation,,,Cu3O2,,P21/c,,,,8.714,,,,,BIN_000168,,,Binary_Oxide,9.199,,Cu3O2,Cu:O = 3:2,8.62,,,
Systematic_Generation,,,Cu3O4,,Pnma,,,,8.822,,,,,BIN_000169,,,Binary_Oxide,8.274,,Cu3O4,Cu:O = 3:4,8.953,,,
Systematic_Generation,,,Cu2O5,,P21/c,,,,6.757,,,,,BIN_000170,,,Binary_Oxide,7.481,,Cu2O5,Cu:O = 2:5,8.392,,,
Systematic_Generation,,,CuO4,,R-3m,,,,8.519,,,,,BIN_000171,,,Binary_Oxide,4.081,,CuO4,Cu:O = 1:4,6.38,,,
